"iso3c","year","measles_cases","population","MCV1_coverage","MCV2_coverage"
"AFG","2023",2792,42239854,NA,NA
"AFG","2022",5166,41128771,68,49
"AFG","2021",2900,40099462,63,44
"AFG","2020",640,38972230,66,43
"AFG","2019",353,37769499,64,41
"AFG","2018",2012,36686784,71,49
"AFG","2017",1511,35643418,67,40
"AFG","2016",638,34636207,64,40
"AFG","2015",1154,33753499,62,42
"AFG","2014",492,32716210,60,44
"AFG","2013",430,31541209,57,38
"AFG","2012",2787,30466479,59,33
"AFG","2011",3013,29249157,64,31
"AFG","2010",1989,28189672,62,29
"AFG","2009",2861,27385307,60,24
"AFG","2008",1599,26427199,59,23
"AFG","2007",1141,25903301,55,4
"AFG","2006",1990,25442944,53,18
"AFG","2005",1296,24411191,50,9
"AFG","2004",466,23553551,48,2
"AFG","2003",798,22645130,39,NA
"AFG","2002",2486,21000256,35,NA
"AFG","2001",8762,19688632,37,NA
"AFG","2000",6532,19542982,27,NA
"AFG","1999",3609,19262847,31,NA
"AFG","1998",2205,18493132,31,NA
"AFG","1997",NA,17788819,38,NA
"AFG","1996",NA,17106595,42,NA
"AFG","1995",NA,16418912,41,NA
"AFG","1994",NA,15455555,40,NA
"AFG","1993",NA,14003760,25,NA
"AFG","1992",NA,12057433,22,NA
"AFG","1991",792,10745167,19,NA
"AFG","1990",1609,10694796,20,NA
"AFG","1989",1170,10673168,22,NA
"AFG","1988",4561,10383460,34,NA
"AFG","1987",10357,10322758,31,NA
"AFG","1986",8107,10448442,14,NA
"AFG","1985",14457,10512221,14,NA
"AFG","1984",16199,10243686,14,NA
"AFG","1983",18808,9951449,9,NA
"AFG","1982",20320,10088289,8,NA
"AFG","1981",31107,11155195,NA,NA
"AFG","1980",32455,12486631,11,NA
"ALB","2023",13,2745972,NA,NA
"ALB","2022",1,2777689,86,93
"ALB","2021",NA,2811666,87,92
"ALB","2020",4,2837849,91,94
"ALB","2019",488,2854191,95,96
"ALB","2018",1469,2866376,94,96
"ALB","2017",12,2873457,96,98
"ALB","2016",17,2876101,96,98
"ALB","2015",NA,2880703,97,98
"ALB","2014",NA,2889104,98,98
"ALB","2013",0,2895092,99,99
"ALB","2012",9,2900401,98,99
"ALB","2011",28,2905195,99,99
"ALB","2010",10,2913021,99,98
"ALB","2009",0,2927519,97,98
"ALB","2008",NA,2947314,98,98
"ALB","2007",22,2970017,97,95
"ALB","2006",68,2992547,95,94
"ALB","2005",6,3011487,97,97
"ALB","2004",7,3026939,96,96
"ALB","2003",8,3039616,93,93
"ALB","2002",16,3051010,96,93
"ALB","2001",18,3060173,95,90
"ALB","2000",662,3089027,95,NA
"ALB","1999",797,3108778,85,NA
"ALB","1998",1901,3128530,89,NA
"ALB","1997",2386,3148281,95,NA
"ALB","1996",1204,3168033,92,NA
"ALB","1995",15,3187784,91,NA
"ALB","1994",29,3207536,90,NA
"ALB","1993",7,3227287,76,NA
"ALB","1992",0,3247039,87,NA
"ALB","1991",0,3266790,80,NA
"ALB","1990",NA,3286542,88,NA
"ALB","1989",136034,3227943,96,NA
"ALB","1988",0,3142336,96,NA
"ALB","1987",0,3083605,96,NA
"ALB","1986",0,3022635,96,NA
"ALB","1985",0,2964762,96,NA
"ALB","1984",0,2904429,96,NA
"ALB","1983",17,2843960,96,NA
"ALB","1982",3,2784278,93,NA
"ALB","1981",NA,2726056,90,NA
"ALB","1980",NA,2671997,90,NA
"DZA","2023",203,45606480,NA,NA
"DZA","2022",47,44903225,79,71
"DZA","2021",NA,44177969,79,73
"DZA","2020",NA,43451666,80,74
"DZA","2019",2585,42705368,80,76
"DZA","2018",3356,41927007,80,77
"DZA","2017",112,41136546,88,92
"DZA","2016",41,40339329,94,96
"DZA","2015",63,39543154,95,99
"DZA","2014",0,38760168,95,99
"DZA","2013",25,38000626,95,93
"DZA","2012",18,37260563,95,95
"DZA","2011",112,36543541,95,96
"DZA","2010",103,35856344,95,95
"DZA","2009",107,35196037,92,98
"DZA","2008",217,34569592,88,96
"DZA","2007",0,33983827,92,95
"DZA","2006",944,33435080,91,98
"DZA","2005",2302,32956690,83,94
"DZA","2004",3289,32510186,81,94
"DZA","2003",15374,32055883,84,96
"DZA","2002",5862,31624696,81,93
"DZA","2001",2686,31200985,83,73
"DZA","2000",NA,30774621,80,78
"DZA","1999",2503,30346083,83,NA
"DZA","1998",3301,29924668,84,NA
"DZA","1997",19573,29476031,92,NA
"DZA","1996",21003,28984634,90,NA
"DZA","1995",8204,28478022,89,NA
"DZA","1994",5913,27937006,88,NA
"DZA","1993",3141,27354327,87,NA
"DZA","1992",8823,26748303,86,NA
"DZA","1991",5969,26133905,85,NA
"DZA","1990",1796,25518074,83,NA
"DZA","1989",4169,24889507,82,NA
"DZA","1988",2634,24243018,81,NA
"DZA","1987",2500,23586101,73,NA
"DZA","1986",3975,22882553,67,NA
"DZA","1985",20114,22132905,68,NA
"DZA","1984",22553,21393530,NA,NA
"DZA","1983",22126,20682111,NA,NA
"DZA","1982",29584,20000096,NA,NA
"DZA","1981",20849,19351357,NA,NA
"DZA","1980",15527,18739378,NA,NA
"ASM","2023",NA,43914,NA,NA
"ASM","2022",NA,44273,NA,NA
"ASM","2021",NA,45035,NA,NA
"ASM","2020",NA,46189,NA,NA
"ASM","2019",NA,47321,NA,NA
"ASM","2018",NA,48424,NA,NA
"ASM","2017",NA,49463,NA,NA
"ASM","2016",NA,50448,NA,NA
"ASM","2015",NA,51368,NA,NA
"ASM","2014",NA,52217,NA,NA
"ASM","2013",NA,52995,NA,NA
"ASM","2012",NA,53691,NA,NA
"ASM","2011",0,54310,NA,NA
"ASM","2010",NA,54849,NA,NA
"ASM","2009",NA,55366,NA,NA
"ASM","2008",0,55891,NA,NA
"ASM","2007",0,56383,NA,NA
"ASM","2006",NA,56837,NA,NA
"ASM","2005",0,57254,NA,NA
"ASM","2004",0,57626,NA,NA
"ASM","2003",NA,57941,NA,NA
"ASM","2002",NA,58177,NA,NA
"ASM","2001",0,58324,NA,NA
"ASM","2000",1,58230,NA,NA
"ASM","1999",0,57594,NA,NA
"ASM","1998",2,56603,NA,NA
"ASM","1997",12,55578,NA,NA
"ASM","1996",0,54500,NA,NA
"ASM","1995",0,53401,NA,NA
"ASM","1994",0,52288,NA,NA
"ASM","1993",0,51174,NA,NA
"ASM","1992",0,50078,NA,NA
"ASM","1991",19,48992,NA,NA
"ASM","1990",498,47818,NA,NA
"ASM","1989",2,46288,NA,NA
"ASM","1988",3,44532,NA,NA
"ASM","1987",1,42842,NA,NA
"ASM","1986",2,41221,NA,NA
"ASM","1985",28,39663,NA,NA
"ASM","1984",0,38168,NA,NA
"ASM","1983",0,36735,NA,NA
"ASM","1982",2,35367,NA,NA
"ASM","1981",3,34059,NA,NA
"ASM","1980",16,32886,NA,NA
"AND","2023",0,80088,NA,NA
"AND","2022",0,79824,98,96
"AND","2021",0,79034,99,97
"AND","2020",0,77700,98,93
"AND","2019",0,76343,99,94
"AND","2018",0,75013,99,95
"AND","2017",0,73837,99,94
"AND","2016",0,72540,97,90
"AND","2015",0,71746,96,88
"AND","2014",0,71621,96,90
"AND","2013",0,71367,95,91
"AND","2012",0,71013,98,89
"AND","2011",0,70567,99,82
"AND","2010",0,71519,99,86
"AND","2009",0,73852,98,82
"AND","2008",0,76055,98,86
"AND","2007",0,78168,94,80
"AND","2006",0,80221,91,NA
"AND","2005",0,79826,94,NA
"AND","2004",0,76933,98,NA
"AND","2003",0,73907,96,NA
"AND","2002",1,70849,98,NA
"AND","2001",5,67820,97,NA
"AND","2000",2,66097,97,NA
"AND","1999",2,65655,97,NA
"AND","1998",NA,65186,90,NA
"AND","1997",5,64682,90,NA
"AND","1996",NA,64147,NA,NA
"AND","1995",NA,62928,NA,NA
"AND","1994",NA,61037,NA,NA
"AND","1993",NA,59156,NA,NA
"AND","1992",NA,57283,NA,NA
"AND","1991",NA,55434,NA,NA
"AND","1990",NA,53569,NA,NA
"AND","1989",NA,51639,NA,NA
"AND","1988",NA,49654,NA,NA
"AND","1987",NA,47635,NA,NA
"AND","1986",NA,45605,NA,NA
"AND","1985",NA,43809,NA,NA
"AND","1984",NA,42181,NA,NA
"AND","1983",NA,40432,NA,NA
"AND","1982",NA,38598,NA,NA
"AND","1981",NA,36987,NA,NA
"AND","1980",NA,35611,NA,NA
"AGO","2023",3508,36684202,NA,NA
"AGO","2022",3271,35588987,37,25
"AGO","2021",300,34503774,36,22
"AGO","2020",1085,33428486,44,29
"AGO","2019",2987,32353588,51,33
"AGO","2018",57,31273533,50,23
"AGO","2017",29,30208628,42,18
"AGO","2016",53,29154746,45,16
"AGO","2015",119,28127721,51,16
"AGO","2014",11699,27128337,56,NA
"AGO","2013",8523,26147002,59,NA
"AGO","2012",4458,25188292,65,NA
"AGO","2011",1449,24259111,57,NA
"AGO","2010",1190,23364185,62,NA
"AGO","2009",2807,22507674,46,NA
"AGO","2008",265,21691522,48,NA
"AGO","2007",1014,20909684,58,NA
"AGO","2006",765,20162340,21,NA
"AGO","2005",258,19450959,21,NA
"AGO","2004",29,18771125,43,NA
"AGO","2003",1196,18124342,44,NA
"AGO","2002",11945,17516139,59,NA
"AGO","2001",9046,16941587,60,NA
"AGO","2000",2219,16394062,32,NA
"AGO","1999",350,15870753,40,NA
"AGO","1998",2576,15366864,59,NA
"AGO","1997",8183,14871146,78,NA
"AGO","1996",251,14383350,62,NA
"AGO","1995",635,13912253,46,NA
"AGO","1994",5480,13462031,44,NA
"AGO","1993",9273,13038270,47,NA
"AGO","1992",16772,12632507,39,NA
"AGO","1991",18382,12228691,39,NA
"AGO","1990",29069,11828638,38,NA
"AGO","1989",19820,11439498,48,NA
"AGO","1988",21009,11060261,56,NA
"AGO","1987",13368,10694057,55,NA
"AGO","1986",15580,10332574,44,NA
"AGO","1985",22822,9970621,44,NA
"AGO","1984",22685,9617702,35,NA
"AGO","1983",22589,9276707,26,NA
"AGO","1982",30067,8947152,NA,NA
"AGO","1981",19714,8631457,NA,NA
"AGO","1980",29656,8330047,NA,NA
"AIA","2023",0,NA,NA,NA
"AIA","2022",0,NA,NA,NA
"AIA","2021",0,NA,NA,NA
"AIA","2020",0,NA,NA,NA
"AIA","2019",0,NA,NA,NA
"AIA","2018",0,NA,NA,NA
"AIA","2017",0,NA,NA,NA
"AIA","2016",NA,NA,NA,NA
"AIA","2015",NA,NA,NA,NA
"AIA","2014",NA,NA,NA,NA
"AIA","2013",NA,NA,NA,NA
"AIA","2012",NA,NA,NA,NA
"AIA","2011",NA,NA,NA,NA
"AIA","2010",NA,NA,NA,NA
"AIA","2009",NA,NA,NA,NA
"AIA","2008",NA,NA,NA,NA
"AIA","2007",NA,NA,NA,NA
"AIA","2006",NA,NA,NA,NA
"AIA","2005",NA,NA,NA,NA
"AIA","2004",NA,NA,NA,NA
"AIA","2003",0,NA,NA,NA
"AIA","2002",NA,NA,NA,NA
"AIA","2001",0,NA,NA,NA
"AIA","2000",0,NA,NA,NA
"AIA","1999",0,NA,NA,NA
"AIA","1998",0,NA,NA,NA
"AIA","1997",0,NA,NA,NA
"AIA","1996",0,NA,NA,NA
"AIA","1995",0,NA,NA,NA
"AIA","1994",0,NA,NA,NA
"AIA","1993",0,NA,NA,NA
"AIA","1992",0,NA,NA,NA
"AIA","1991",1,NA,NA,NA
"AIA","1990",15,NA,NA,NA
"AIA","1989",7,NA,NA,NA
"AIA","1988",2,NA,NA,NA
"AIA","1987",0,NA,NA,NA
"AIA","1986",0,NA,NA,NA
"AIA","1985",0,NA,NA,NA
"AIA","1984",0,NA,NA,NA
"AIA","1983",0,NA,NA,NA
"AIA","1982",1,NA,NA,NA
"AIA","1981",0,NA,NA,NA
"AIA","1980",0,NA,NA,NA
"ATG","2023",0,94298,NA,NA
"ATG","2022",0,93763,99,91
"ATG","2021",0,93219,85,76
"ATG","2020",0,92664,89,80
"ATG","2019",0,92117,93,80
"ATG","2018",1,91626,96,95
"ATG","2017",0,91119,99,95
"ATG","2016",0,90564,88,68
"ATG","2015",0,89941,91,84
"ATG","2014",0,89236,93,99
"ATG","2013",0,88497,96,87
"ATG","2012",0,87674,98,90
"ATG","2011",0,86729,99,89
"ATG","2010",0,85695,98,92
"ATG","2009",0,84534,99,94
"ATG","2008",0,83251,99,83
"ATG","2007",0,82016,99,78
"ATG","2006",0,80895,99,68
"ATG","2005",0,79869,99,46
"ATG","2004",0,78941,97,NA
"ATG","2003",0,78075,99,NA
"ATG","2002",0,77195,99,NA
"ATG","2001",0,76215,97,NA
"ATG","2000",0,75055,95,NA
"ATG","1999",0,73821,99,NA
"ATG","1998",0,72572,99,NA
"ATG","1997",0,71218,93,NA
"ATG","1996",0,69798,99,NA
"ATG","1995",0,68398,93,NA
"ATG","1994",0,67072,91,NA
"ATG","1993",0,65834,99,NA
"ATG","1992",0,64659,99,NA
"ATG","1991",0,63634,87,NA
"ATG","1990",0,63328,89,NA
"ATG","1989",0,63636,95,NA
"ATG","1988",0,63982,95,NA
"ATG","1987",0,64353,89,NA
"ATG","1986",0,64712,80,NA
"ATG","1985",1,65048,69,NA
"ATG","1984",1,65362,73,NA
"ATG","1983",10,65408,48,NA
"ATG","1982",0,65231,NA,NA
"ATG","1981",247,65076,NA,NA
"ATG","1980",2291,64889,NA,NA
"ARG","2023",0,46654581,NA,NA
"ARG","2022",2,46234830,83,93
"ARG","2021",0,45808747,86,79
"ARG","2020",69,45376763,77,71
"ARG","2019",130,44938712,86,84
"ARG","2018",14,44494502,94,99
"ARG","2017",3,44044811,89,89
"ARG","2016",0,43590368,90,88
"ARG","2015",0,43131966,89,87
"ARG","2014",1,42669500,95,96
"ARG","2013",0,42202935,94,83
"ARG","2012",2,41733271,94,89
"ARG","2011",3,41261490,95,91
"ARG","2010",17,40788453,95,94
"ARG","2009",3,40684338,96,96
"ARG","2008",0,40273769,96,88
"ARG","2007",0,39876111,94,84
"ARG","2006",0,39476851,97,91
"ARG","2005",0,39070501,98,88
"ARG","2004",0,38668796,99,93
"ARG","2003",0,38278164,97,80
"ARG","2002",0,37885028,95,83
"ARG","2001",0,37480493,89,56
"ARG","2000",6,37070774,91,56
"ARG","1999",313,36653031,97,NA
"ARG","1998",10229,36233195,95,NA
"ARG","1997",125,35815971,93,NA
"ARG","1996",59,35389362,99,NA
"ARG","1995",655,34946110,99,NA
"ARG","1994",134,34488696,96,NA
"ARG","1993",5087,34027240,95,NA
"ARG","1992",20551,33568285,92,NA
"ARG","1991",42093,33105763,99,NA
"ARG","1990",1967,32637657,93,NA
"ARG","1989",4009,32165766,89,NA
"ARG","1988",4751,31690792,87,NA
"ARG","1987",8024,31216453,80,NA
"ARG","1986",6448,30748326,87,NA
"ARG","1985",9240,30287112,54,NA
"ARG","1984",31751,29832197,79,NA
"ARG","1983",7106,29377137,67,NA
"ARG","1982",4432,28922762,67,NA
"ARG","1981",17582,28471285,77,NA
"ARG","1980",16102,28024803,61,NA
"ARM","2023",554,2777970,NA,NA
"ARM","2022",0,2780469,95,94
"ARM","2021",0,2790974,94,94
"ARM","2020",0,2805608,94,94
"ARM","2019",7,2820602,95,96
"ARM","2018",19,2836557,95,96
"ARM","2017",1,2851923,96,97
"ARM","2016",2,2865835,97,97
"ARM","2015",33,2878595,97,97
"ARM","2014",13,2889930,97,97
"ARM","2013",10,2901385,97,97
"ARM","2012",0,2914421,97,97
"ARM","2011",0,2928976,97,98
"ARM","2010",2,2946293,97,97
"ARM","2009",0,2964296,96,96
"ARM","2008",0,2983421,94,94
"ARM","2007",1,3004393,92,93
"ARM","2006",137,3026486,92,85
"ARM","2005",2281,3047246,94,92
"ARM","2004",1783,3065745,92,94
"ARM","2003",4,3084102,94,93
"ARM","2002",40,3105037,91,95
"ARM","2001",69,3133133,93,96
"ARM","2000",15,3168523,92,94
"ARM","1999",41,3206030,92,NA
"ARM","1998",52,3240550,94,NA
"ARM","1997",802,3271418,92,NA
"ARM","1996",2027,3298898,89,NA
"ARM","1995",187,3322782,96,NA
"ARM","1994",149,3373713,95,NA
"ARM","1993",338,3457349,95,NA
"ARM","1992",46,3574555,93,NA
"ARM","1991",192,3617631,NA,NA
"ARM","1990",879,3556539,NA,NA
"ARM","1989",NA,3448186,NA,NA
"ARM","1988",NA,3366838,NA,NA
"ARM","1987",NA,3351364,NA,NA
"ARM","1986",NA,3327182,NA,NA
"ARM","1985",NA,3300896,NA,NA
"ARM","1984",NA,3272102,NA,NA
"ARM","1983",NA,3238291,NA,NA
"ARM","1982",NA,3202011,NA,NA
"ARM","1981",NA,3167876,NA,NA
"ARM","1980",NA,3135123,NA,NA
"ABW","2023",NA,106277,NA,NA
"ABW","2022",0,106445,NA,NA
"ABW","2021",0,106537,NA,NA
"ABW","2020",NA,106585,NA,NA
"ABW","2019",1,106442,NA,NA
"ABW","2018",0,105962,NA,NA
"ABW","2017",0,105439,NA,NA
"ABW","2016",NA,104874,NA,NA
