"CODE","NAME","YEAR","ANTIGEN","ANTIGEN_DESCRIPTION","COVERAGE"
"AFG","Afghanistan",2022,"MCV1","Measles-containing vaccine, 1st dose",68
"AFG","Afghanistan",2022,"MCV2","Measles-containing vaccine, 2nd dose",49
"ALB","Albania",2022,"MCV2","Measles-containing vaccine, 2nd dose",93
"ALB","Albania",2022,"MCV1","Measles-containing vaccine, 1st dose",86
"DZA","Algeria",2022,"MCV2","Measles-containing vaccine, 2nd dose",71
"DZA","Algeria",2022,"MCV1","Measles-containing vaccine, 1st dose",79
"AND","Andorra",2022,"MCV1","Measles-containing vaccine, 1st dose",98
"AND","Andorra",2022,"MCV2","Measles-containing vaccine, 2nd dose",96
"AGO","Angola",2022,"MCV2","Measles-containing vaccine, 2nd dose",25
"AGO","Angola",2022,"MCV1","Measles-containing vaccine, 1st dose",37
"ATG","Antigua and Barbuda",2022,"MCV2","Measles-containing vaccine, 2nd dose",91
"ATG","Antigua and Barbuda",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"ARG","Argentina",2022,"MCV1","Measles-containing vaccine, 1st dose",83
"ARG","Argentina",2022,"MCV2","Measles-containing vaccine, 2nd dose",93
"ARM","Armenia",2022,"MCV1","Measles-containing vaccine, 1st dose",95
"ARM","Armenia",2022,"MCV2","Measles-containing vaccine, 2nd dose",94
"AUS","Australia",2022,"MCV2","Measles-containing vaccine, 2nd dose",91
"AUS","Australia",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"AUT","Austria",2022,"MCV1","Measles-containing vaccine, 1st dose",95
"AUT","Austria",2022,"MCV2","Measles-containing vaccine, 2nd dose",94
"AZE","Azerbaijan",2022,"MCV2","Measles-containing vaccine, 2nd dose",91
"AZE","Azerbaijan",2022,"MCV1","Measles-containing vaccine, 1st dose",93
"BHS","Bahamas",2022,"MCV2","Measles-containing vaccine, 2nd dose",65
"BHS","Bahamas",2022,"MCV1","Measles-containing vaccine, 1st dose",80
"BHR","Bahrain",2022,"MCV2","Measles-containing vaccine, 2nd dose",99
"BHR","Bahrain",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"BGD","Bangladesh",2022,"MCV2","Measles-containing vaccine, 2nd dose",93
"BGD","Bangladesh",2022,"MCV1","Measles-containing vaccine, 1st dose",97
"BRB","Barbados",2022,"MCV1","Measles-containing vaccine, 1st dose",85
"BRB","Barbados",2022,"MCV2","Measles-containing vaccine, 2nd dose",73
"BLR","Belarus",2022,"MCV1","Measles-containing vaccine, 1st dose",98
"BLR","Belarus",2022,"MCV2","Measles-containing vaccine, 2nd dose",98
"BEL","Belgium",2022,"MCV2","Measles-containing vaccine, 2nd dose",83
"BEL","Belgium",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"BLZ","Belize",2022,"MCV1","Measles-containing vaccine, 1st dose",81
"BLZ","Belize",2022,"MCV2","Measles-containing vaccine, 2nd dose",76
"BEN","Benin",2022,"MCV2","Measles-containing vaccine, 2nd dose",NA
"BEN","Benin",2022,"MCV1","Measles-containing vaccine, 1st dose",68
"BTN","Bhutan",2022,"MCV1","Measles-containing vaccine, 1st dose",97
"BTN","Bhutan",2022,"MCV2","Measles-containing vaccine, 2nd dose",97
"BOL","Bolivia (Plurinational State of)",2022,"MCV1","Measles-containing vaccine, 1st dose",69
"BOL","Bolivia (Plurinational State of)",2022,"MCV2","Measles-containing vaccine, 2nd dose",49
"BIH","Bosnia and Herzegovina",2022,"MCV1","Measles-containing vaccine, 1st dose",58
"BIH","Bosnia and Herzegovina",2022,"MCV2","Measles-containing vaccine, 2nd dose",60
"BWA","Botswana",2022,"MCV1","Measles-containing vaccine, 1st dose",90
"BWA","Botswana",2022,"MCV2","Measles-containing vaccine, 2nd dose",77
"BRA","Brazil",2022,"MCV1","Measles-containing vaccine, 1st dose",81
"BRA","Brazil",2022,"MCV2","Measles-containing vaccine, 2nd dose",58
"BRN","Brunei Darussalam",2022,"MCV1","Measles-containing vaccine, 1st dose",97
"BRN","Brunei Darussalam",2022,"MCV2","Measles-containing vaccine, 2nd dose",99
"BGR","Bulgaria",2022,"MCV1","Measles-containing vaccine, 1st dose",91
"BGR","Bulgaria",2022,"MCV2","Measles-containing vaccine, 2nd dose",87
"BFA","Burkina Faso",2022,"MCV1","Measles-containing vaccine, 1st dose",88
"BFA","Burkina Faso",2022,"MCV2","Measles-containing vaccine, 2nd dose",71
"BDI","Burundi",2022,"MCV2","Measles-containing vaccine, 2nd dose",85
"BDI","Burundi",2022,"MCV1","Measles-containing vaccine, 1st dose",89
"CPV","Cabo Verde",2022,"MCV2","Measles-containing vaccine, 2nd dose",86
"CPV","Cabo Verde",2022,"MCV1","Measles-containing vaccine, 1st dose",95
"KHM","Cambodia",2022,"MCV2","Measles-containing vaccine, 2nd dose",69
"KHM","Cambodia",2022,"MCV1","Measles-containing vaccine, 1st dose",83
"CMR","Cameroon",2022,"MCV1","Measles-containing vaccine, 1st dose",65
"CMR","Cameroon",2022,"MCV2","Measles-containing vaccine, 2nd dose",44
"CAN","Canada",2022,"MCV2","Measles-containing vaccine, 2nd dose",79
"CAN","Canada",2022,"MCV1","Measles-containing vaccine, 1st dose",92
"CAF","Central African Republic",2022,"MCV1","Measles-containing vaccine, 1st dose",41
"CAF","Central African Republic",2022,"MCV2","Measles-containing vaccine, 2nd dose",NA
"TCD","Chad",2022,"MCV2","Measles-containing vaccine, 2nd dose",2
"TCD","Chad",2022,"MCV1","Measles-containing vaccine, 1st dose",56
"CHL","Chile",2022,"MCV1","Measles-containing vaccine, 1st dose",94
"CHL","Chile",2022,"MCV2","Measles-containing vaccine, 2nd dose",53
"CHN","China",2022,"MCV2","Measles-containing vaccine, 2nd dose",99
"CHN","China",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"COL","Colombia",2022,"MCV2","Measles-containing vaccine, 2nd dose",84
"COL","Colombia",2022,"MCV1","Measles-containing vaccine, 1st dose",88
"COM","Comoros",2022,"MCV2","Measles-containing vaccine, 2nd dose",79
"COM","Comoros",2022,"MCV1","Measles-containing vaccine, 1st dose",86
"COG","Congo",2022,"MCV2","Measles-containing vaccine, 2nd dose",34
"COG","Congo",2022,"MCV1","Measles-containing vaccine, 1st dose",65
"COK","Cook Islands",2022,"MCV1","Measles-containing vaccine, 1st dose",61
"COK","Cook Islands",2022,"MCV2","Measles-containing vaccine, 2nd dose",51
"CRI","Costa Rica",2022,"MCV2","Measles-containing vaccine, 2nd dose",75
"CRI","Costa Rica",2022,"MCV1","Measles-containing vaccine, 1st dose",90
"CIV","Côte d'Ivoire",2022,"MCV2","Measles-containing vaccine, 2nd dose",20
"CIV","Côte d'Ivoire",2022,"MCV1","Measles-containing vaccine, 1st dose",65
"HRV","Croatia",2022,"MCV2","Measles-containing vaccine, 2nd dose",90
"HRV","Croatia",2022,"MCV1","Measles-containing vaccine, 1st dose",90
"CUB","Cuba",2022,"MCV2","Measles-containing vaccine, 2nd dose",99
"CUB","Cuba",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"CYP","Cyprus",2022,"MCV1","Measles-containing vaccine, 1st dose",86
"CYP","Cyprus",2022,"MCV2","Measles-containing vaccine, 2nd dose",88
"CZE","Czechia",2022,"MCV1","Measles-containing vaccine, 1st dose",97
"CZE","Czechia",2022,"MCV2","Measles-containing vaccine, 2nd dose",90
"PRK","Democratic People's Republic of Korea",2022,"MCV1","Measles-containing vaccine, 1st dose",0
"PRK","Democratic People's Republic of Korea",2022,"MCV2","Measles-containing vaccine, 2nd dose",0
"COD","Democratic Republic of the Congo",2022,"MCV1","Measles-containing vaccine, 1st dose",56
"COD","Democratic Republic of the Congo",2022,"MCV2","Measles-containing vaccine, 2nd dose",NA
"DNK","Denmark",2022,"MCV1","Measles-containing vaccine, 1st dose",95
"DNK","Denmark",2022,"MCV2","Measles-containing vaccine, 2nd dose",94
"DJI","Djibouti",2022,"MCV1","Measles-containing vaccine, 1st dose",50
"DJI","Djibouti",2022,"MCV2","Measles-containing vaccine, 2nd dose",48
"DMA","Dominica",2022,"MCV1","Measles-containing vaccine, 1st dose",83
"DMA","Dominica",2022,"MCV2","Measles-containing vaccine, 2nd dose",89
"DOM","Dominican Republic",2022,"MCV2","Measles-containing vaccine, 2nd dose",59
"DOM","Dominican Republic",2022,"MCV1","Measles-containing vaccine, 1st dose",91
"ECU","Ecuador",2022,"MCV1","Measles-containing vaccine, 1st dose",74
"ECU","Ecuador",2022,"MCV2","Measles-containing vaccine, 2nd dose",60
"EGY","Egypt",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"EGY","Egypt",2022,"MCV2","Measles-containing vaccine, 2nd dose",96
"SLV","El Salvador",2022,"MCV1","Measles-containing vaccine, 1st dose",65
"SLV","El Salvador",2022,"MCV2","Measles-containing vaccine, 2nd dose",58
"GNQ","Equatorial Guinea",2022,"MCV2","Measles-containing vaccine, 2nd dose",13
"GNQ","Equatorial Guinea",2022,"MCV1","Measles-containing vaccine, 1st dose",53
"ERI","Eritrea",2022,"MCV2","Measles-containing vaccine, 2nd dose",85
"ERI","Eritrea",2022,"MCV1","Measles-containing vaccine, 1st dose",93
"EST","Estonia",2022,"MCV1","Measles-containing vaccine, 1st dose",82
"EST","Estonia",2022,"MCV2","Measles-containing vaccine, 2nd dose",68
"SWZ","Eswatini",2022,"MCV2","Measles-containing vaccine, 2nd dose",77
"SWZ","Eswatini",2022,"MCV1","Measles-containing vaccine, 1st dose",83
"ETH","Ethiopia",2022,"MCV2","Measles-containing vaccine, 2nd dose",48
"ETH","Ethiopia",2022,"MCV1","Measles-containing vaccine, 1st dose",56
"FJI","Fiji",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"FJI","Fiji",2022,"MCV2","Measles-containing vaccine, 2nd dose",78
"FIN","Finland",2022,"MCV2","Measles-containing vaccine, 2nd dose",92
"FIN","Finland",2022,"MCV1","Measles-containing vaccine, 1st dose",94
"FRA","France",2022,"MCV1","Measles-containing vaccine, 1st dose",94
"FRA","France",2022,"MCV2","Measles-containing vaccine, 2nd dose",90
"GAB","Gabon",2022,"MCV2","Measles-containing vaccine, 2nd dose",NA
"GAB","Gabon",2022,"MCV1","Measles-containing vaccine, 1st dose",52
"GMB","Gambia",2022,"MCV1","Measles-containing vaccine, 1st dose",74
"GMB","Gambia",2022,"MCV2","Measles-containing vaccine, 2nd dose",52
"GEO","Georgia",2022,"MCV1","Measles-containing vaccine, 1st dose",90
"GEO","Georgia",2022,"MCV2","Measles-containing vaccine, 2nd dose",78
"DEU","Germany",2022,"MCV1","Measles-containing vaccine, 1st dose",97
"DEU","Germany",2022,"MCV2","Measles-containing vaccine, 2nd dose",93
"GHA","Ghana",2022,"MCV1","Measles-containing vaccine, 1st dose",95
"GHA","Ghana",2022,"MCV2","Measles-containing vaccine, 2nd dose",84
"GRC","Greece",2022,"MCV1","Measles-containing vaccine, 1st dose",97
"GRC","Greece",2022,"MCV2","Measles-containing vaccine, 2nd dose",83
"GRD","Grenada",2022,"MCV1","Measles-containing vaccine, 1st dose",76
"GRD","Grenada",2022,"MCV2","Measles-containing vaccine, 2nd dose",68
"GTM","Guatemala",2022,"MCV2","Measles-containing vaccine, 2nd dose",69
"GTM","Guatemala",2022,"MCV1","Measles-containing vaccine, 1st dose",83
"GIN","Guinea",2022,"MCV1","Measles-containing vaccine, 1st dose",47
"GIN","Guinea",2022,"MCV2","Measles-containing vaccine, 2nd dose",3
"GNB","Guinea-Bissau",2022,"MCV1","Measles-containing vaccine, 1st dose",75
"GNB","Guinea-Bissau",2022,"MCV2","Measles-containing vaccine, 2nd dose",1
"GUY","Guyana",2022,"MCV1","Measles-containing vaccine, 1st dose",95
"GUY","Guyana",2022,"MCV2","Measles-containing vaccine, 2nd dose",97
"HTI","Haiti",2022,"MCV1","Measles-containing vaccine, 1st dose",65
"HTI","Haiti",2022,"MCV2","Measles-containing vaccine, 2nd dose",41
"HND","Honduras",2022,"MCV2","Measles-containing vaccine, 2nd dose",70
"HND","Honduras",2022,"MCV1","Measles-containing vaccine, 1st dose",77
"HUN","Hungary",2022,"MCV2","Measles-containing vaccine, 2nd dose",99
"HUN","Hungary",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"ISL","Iceland",2022,"MCV1","Measles-containing vaccine, 1st dose",91
"ISL","Iceland",2022,"MCV2","Measles-containing vaccine, 2nd dose",80
"IND","India",2022,"MCV2","Measles-containing vaccine, 2nd dose",90
"IND","India",2022,"MCV1","Measles-containing vaccine, 1st dose",95
"IDN","Indonesia",2022,"MCV1","Measles-containing vaccine, 1st dose",84
"IDN","Indonesia",2022,"MCV2","Measles-containing vaccine, 2nd dose",67
"IRN","Iran (Islamic Republic of)",2022,"MCV2","Measles-containing vaccine, 2nd dose",98
"IRN","Iran (Islamic Republic of)",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"IRQ","Iraq",2022,"MCV1","Measles-containing vaccine, 1st dose",88
"IRQ","Iraq",2022,"MCV2","Measles-containing vaccine, 2nd dose",97
"IRL","Ireland",2022,"MCV1","Measles-containing vaccine, 1st dose",90
"IRL","Ireland",2022,"MCV2","Measles-containing vaccine, 2nd dose",NA
"ISR","Israel",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"ISR","Israel",2022,"MCV2","Measles-containing vaccine, 2nd dose",93
"ITA","Italy",2022,"MCV1","Measles-containing vaccine, 1st dose",94
"ITA","Italy",2022,"MCV2","Measles-containing vaccine, 2nd dose",85
"JAM","Jamaica",2022,"MCV1","Measles-containing vaccine, 1st dose",91
"JAM","Jamaica",2022,"MCV2","Measles-containing vaccine, 2nd dose",83
"JPN","Japan",2022,"MCV2","Measles-containing vaccine, 2nd dose",95
"JPN","Japan",2022,"MCV1","Measles-containing vaccine, 1st dose",98
"JOR","Jordan",2022,"MCV2","Measles-containing vaccine, 2nd dose",90
"JOR","Jordan",2022,"MCV1","Measles-containing vaccine, 1st dose",76
"KAZ","Kazakhstan",2022,"MCV2","Measles-containing vaccine, 2nd dose",97
"KAZ","Kazakhstan",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"KEN","Kenya",2022,"MCV1","Measles-containing vaccine, 1st dose",90
"KEN","Kenya",2022,"MCV2","Measles-containing vaccine, 2nd dose",56
"KIR","Kiribati",2022,"MCV2","Measles-containing vaccine, 2nd dose",68
"KIR","Kiribati",2022,"MCV1","Measles-containing vaccine, 1st dose",85
"KWT","Kuwait",2022,"MCV2","Measles-containing vaccine, 2nd dose",94
"KWT","Kuwait",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"KGZ","Kyrgyzstan",2022,"MCV2","Measles-containing vaccine, 2nd dose",95
"KGZ","Kyrgyzstan",2022,"MCV1","Measles-containing vaccine, 1st dose",94
"LAO","Lao People's Democratic Republic",2022,"MCV1","Measles-containing vaccine, 1st dose",76
"LAO","Lao People's Democratic Republic",2022,"MCV2","Measles-containing vaccine, 2nd dose",55
"LVA","Latvia",2022,"MCV2","Measles-containing vaccine, 2nd dose",86
"LVA","Latvia",2022,"MCV1","Measles-containing vaccine, 1st dose",96
"LBN","Lebanon",2022,"MCV2","Measles-containing vaccine, 2nd dose",59
"LBN","Lebanon",2022,"MCV1","Measles-containing vaccine, 1st dose",67
"LSO","Lesotho",2022,"MCV1","Measles-containing vaccine, 1st dose",81
"LSO","Lesotho",2022,"MCV2","Measles-containing vaccine, 2nd dose",75
"LBR","Liberia",2022,"MCV1","Measles-containing vaccine, 1st dose",79
"LBR","Liberia",2022,"MCV2","Measles-containing vaccine, 2nd dose",59
"LBY","Libya",2022,"MCV2","Measles-containing vaccine, 2nd dose",72
"LBY","Libya",2022,"MCV1","Measles-containing vaccine, 1st dose",73
"LTU","Lithuania",2022,"MCV1","Measles-containing vaccine, 1st dose",87
"LTU","Lithuania",2022,"MCV2","Measles-containing vaccine, 2nd dose",87
"LUX","Luxembourg",2022,"MCV2","Measles-containing vaccine, 2nd dose",90
"LUX","Luxembourg",2022,"MCV1","Measles-containing vaccine, 1st dose",99
"MDG","Madagascar",2022,"MCV2","Measles-containing vaccine, 2nd dose",32
